data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56
63.12380952,45.75,52.16190476,40.23636364,46.68095238,43.20714286,40.10380952,39.95636364,33.52666667,39.39285714,26.94952381,39.71636364,20.37238095,35.57857143,13.7952381,39.47636364,7.218095238,31.76428571,0.640952381,39.23636364,-5.936190476,27.95,-12.51333333,5.049572746,2.90374553,0.757918314,-1.387908903,-3.533736119,-5.679563335,-7.825390551,-9.971217768,-12.11704498,-14.2628722,-16.40869942,-18.55452663,-20.70035385,-22.84618107,-24.99200828,-27.1378355,-29.28366271,-31.42948993,-33.57531715,-35.72114436,-37.86697158,-40.0127988,-42.15862601,-44.30445323,-46.45028044,-48.59610766,-50.74193488,-52.88776209,-55.03358931,-57.17941653,-59.32524374,-61.47107096,-63.61689817
64.38095238,46.41666667,53.19047619,40.6969697,47.5952381,43.83571429,40.88095238,40.4169697,34.16666667,39.96428571,27.45238095,40.1769697,20.73809524,36.09285714,14.02380952,39.9369697,7.30952381,32.22142857,0.595238095,39.6969697,-6.119047619,28.35,-12.83333333,5.00229249,2.813401092,0.624509693,-1.564381705,-3.753273104,-5.942164502,-8.131055901,-10.3199473,-12.5088387,-14.6977301,-16.88662149,-19.07551289,-21.26440429,-23.45329569,-25.64218709,-27.83107849,-30.01996989,-32.20886128,-34.39775268,-36.58664408,-38.77553548,-40.96442688,-43.15331828,-45.34220967,-47.53110107,-49.71999247,-51.90888387,-54.09777527,-56.28666667,-58.47555807,-60.66444946,-62.85334086,-65.04223226
65.63809524,47.08333333,54.21904762,41.15757576,48.50952381,44.46428571,41.65809524,40.87757576,34.80666667,40.53571429,27.9552381,40.63757576,21.10380952,36.60714286,14.25238095,40.39757576,7.400952381,32.67857143,0.54952381,40.15757576,-6.301904762,28.75,-13.15333333,4.955012234,2.723056653,0.491101073,-1.740854508,-3.972810088,-6.204765669,-8.43672125,-10.66867683,-12.90063241,-15.13258799,-17.36454357,-19.59649915,-21.82845473,-24.06041031,-26.29236589,-28.52432148,-30.75627706,-32.98823264,-35.22018822,-37.4521438,-39.68409938,-41.91605496,-44.14801054,-46.37996612,-48.6119217,-50.84387728,-53.07583286,-55.30778844,-57.53974402,-59.7716996,-62.00365519,-64.23561077,-66.46756635
66.8952381,47.75,55.24761905,41.61818182,49.42380952,45.09285714,42.4352381,41.33818182,35.44666667,41.10714286,28.45809524,41.09818182,21.46952381,37.12142857,14.48095238,40.85818182,7.492380952,33.13571429,0.503809524,40.61818182,-6.484761905,29.15,-13.47333333,4.907731978,2.632712215,0.357692452,-1.91732731,-4.192347073,-6.467366836,-8.742386599,-11.01740636,-13.29242612,-15.56744589,-17.84246565,-20.11748541,-22.39250518,-24.66752494,-26.9425447,-29.21756446,-31.49258423,-33.76760399,-36.04262375,-38.31764352,-40.59266328,-42.86768304,-45.1427028,-47.41772257,-49.69274233,-51.96776209,-54.24278186,-56.51780162,-58.79282138,-61.06784114,-63.34286091,-65.61788067,-67.89290043
68.15238095,48.41666667,56.27619048,42.07878788,50.33809524,45.72142857,43.21238095,41.79878788,36.08666667,41.67857143,28.96095238,41.55878788,21.8352381,37.63571429,14.70952381,41.31878788,7.583809524,33.59285714,0.458095238,41.07878788,-6.667619048,29.55,-13.79333333,4.860451722,2.542367777,0.224283832,-2.093800113,-4.411884058,-6.729968003,-9.048051948,-11.36613589,-13.68421984,-16.00230378,-18.32038773,-20.63847167,-22.95655562,-25.27463956,-27.59272351,-29.91080745,-32.2288914,-34.54697534,-36.86505929,-39.18314323,-41.50122718,-43.81931112,-46.13739507,-48.45547901,-50.77356296,-53.0916469,-55.40973085,-57.72781479,-60.04589874,-62.36398268,-64.68206663,-67.00015057,-69.31823452
,49.08333333,,42.53939394,,46.35,,42.25939394,,42.25,,42.01939394,,38.15,,41.77939394,,34.05,,41.53939394,,29.95,,,33.82505785,33.18130028,32.5375427,31.89378512,31.25002755,30.60626997,29.9625124,29.31875482,28.67499725,28.03123967,27.38748209,26.74372452,26.09996694,25.45620937,24.81245179,24.16869421,23.52493664,22.88117906,22.23742149,21.59366391,20.94990634,,,20.30614876,19.66239118,19.01863361,18.37487603,17.73111846,17.08736088,16.44360331,15.79984573,15.15608815
,49.75,,43,,46.97857143,,42.72,,42.82142857,,42.48,,38.66428571,,42.24,,34.50714286,,42,,30.35,,,34.23355844,33.58114286,32.92872727,32.27631169,31.6238961,30.97148052,30.31906494,29.66664935,29.01423377,28.36181818,27.7094026,27.05698701,26.40457143,25.75215584,25.09974026,24.44732468,23.79490909,23.14249351,22.49007792,21.83766234,21.18524675,,,20.53283117,19.88041558,19.228,18.57558442,17.92316883,17.27075325,16.61833766,15.96592208,15.31350649
,,,43.46060606,,,,43.18060606,,,,42.94060606,,,,42.70060606,,,,42.46060606,,,,,,,42.39060606,42.32860606,42.26660606,42.20460606,42.14260606,42.08060606,42.01860606,41.95660606,41.89460606,41.83260606,41.77060606,41.70860606,41.64660606,41.58460606,41.52260606,41.46060606,41.39860606,,,,,,,41.33660606,41.27460606,41.21260606,41.15060606,41.08860606,41.02660606,40.96460606
,,,43.92121212,,,,43.64121212,,,,43.40121212,,,,43.16121212,,,,42.92121212,,,,,,,42.85121212,42.78921212,42.72721212,42.66521212,42.60321212,42.54121212,42.47921212,42.41721212,42.35521212,42.29321212,42.23121212,42.16921212,42.10721212,42.04521212,41.98321212,41.92121212,41.85921212,,,,,,,41.79721212,41.73521212,41.67321212,41.61121212,41.54921212,41.48721212,41.42521212
data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56
69.40952381,50.41666667,57.3047619,44.38181818,51.25238095,47.60714286,43.98952381,44.10181818,36.72666667,43.39285714,29.46380952,43.86181818,22.20095238,39.17857143,14.93809524,43.62181818,7.675238095,34.96428571,0.412380952,43.38181818,-6.85047619,30.75,-14.11333333,5.404927536,3.036250706,0.667573875,-1.701102955,-4.069779785,-6.438456616,-8.807133446,-11.17581028,-13.54448711,-15.91316394,-18.28184077,-20.6505176,-23.01919443,-25.38787126,-27.75654809,-30.12522492,-32.49390175,-34.86257858,-37.23125541,-39.59993224,-41.96860907,-44.3372859,-46.70596273,-49.07463956,-51.44331639,-53.81199322,-56.18067005,-58.54934688,-60.91802372,-63.28670055,-65.65537738,-68.02405421,-70.39273104
70.66666667,51.08333333,58.33333333,44.84242424,52.16666667,48.23571429,44.76666667,44.56242424,37.36666667,43.96428571,29.96666667,44.32242424,22.56666667,39.69285714,15.16666667,44.08242424,7.766666667,35.42142857,0.366666667,43.84242424,-7.033333333,31.15,-14.43333333,5.35764728,2.945906268,0.534165255,-1.877575758,-4.28931677,-6.701057783,-9.112798795,-11.52453981,-13.93628082,-16.34802183,-18.75976285,-21.17150386,-23.58324487,-25.99498588,-28.4067269,-30.81846791,-33.23020892,-35.64194993,-38.05369095,-40.46543196,-42.87717297,-45.28891398,-47.700655,-50.11239601,-52.52413702,-54.93587804,-57.34761905,-59.75936006,-62.17110107,-64.58284209,-66.9945831,-69.40632411,-71.81806512
71.92380952,51.75,59.36190476,45.3030303,53.08095238,48.86428571,45.54380952,45.0230303,38.00666667,44.53571429,30.46952381,44.7830303,22.93238095,40.20714286,15.3952381,44.5430303,7.858095238,35.87857143,0.320952381,44.3030303,-7.216190476,31.55,-14.75333333,5.310367024,2.855561829,0.400756635,-2.05404856,-4.508853755,-6.96365895,-9.418464145,-11.87326934,-14.32807453,-16.78287973,-19.23768492,-21.69249012,-24.14729531,-26.60210051,-29.0569057,-31.5117109,-33.96651609,-36.42132129,-38.87612648,-41.33093168,-43.78573687,-46.24054207,-48.69534726,-51.15015246,-53.60495765,-56.05976285,-58.51456804,-60.96937324,-63.42417843,-65.87898363,-68.33378882,-70.78859401,-73.24339921
73.18095238,52.41666667,60.39047619,45.76363636,53.9952381,49.49285714,46.32095238,45.48363636,38.64666667,45.10714286,30.97238095,45.24363636,23.29809524,40.72142857,15.62380952,45.00363636,7.94952381,36.33571429,0.275238095,44.76363636,-7.399047619,31.95,-15.07333333,5.263086768,2.765217391,0.267348014,-2.230521363,-4.72839074,-7.226260117,-9.724129494,-12.22199887,-14.71986825,-17.21773762,-19.715607,-22.21347638,-24.71134576,-27.20921513,-29.70708451,-32.20495389,-34.70282326,-37.20069264,-39.69856202,-42.19643139,-44.69430077,-47.19217015,-49.69003953,-52.1879089,-54.68577828,-57.18364766,-59.68151703,-62.17938641,-64.67725579,-67.17512516,-69.67299454,-72.17086392,-74.6687333
74.43809524,53.08333333,61.41904762,46.22424242,54.90952381,50.12142857,47.09809524,45.94424242,39.28666667,45.67857143,31.4752381,45.70424242,23.66380952,41.23571429,15.85238095,45.46424242,8.040952381,36.79285714,0.22952381,45.22424242,-7.581904762,32.35,-15.39333333,5.215806512,2.674872953,0.133939394,-2.406994165,-4.947927724,-7.488861284,-10.02979484,-12.5707284,-15.11166196,-17.65259552,-20.19352908,-22.73446264,-25.2753962,-27.81632976,-30.35726332,-32.89819688,-35.43913043,-37.98006399,-40.52099755,-43.06193111,-45.60286467,-48.14379823,-50.68473179,-53.22566535,-55.76659891,-58.30753247,-60.84846603,-63.38939959,-65.93033315,-68.4712667,-71.01220026,-73.55313382,-76.09406738
75.6952381,53.75,62.44761905,46.68484848,55.82380952,50.75,47.8752381,46.40484848,39.92666667,46.25,31.97809524,46.16484848,24.02952381,41.75,16.08095238,45.92484848,8.132380952,37.25,0.183809524,45.68484848,-7.764761905,32.75,-15.71333333,5.168526256,2.584528515,0.000530774,-2.583466968,-5.167464709,-7.751462451,-10.33546019,-12.91945793,-15.50345567,-18.08745342,-20.67145116,-23.2554489,-25.83944664,-28.42344438,-31.00744212,-33.59143986,-36.17543761,-38.75943535,-41.34343309,-43.92743083,-46.51142857,-49.09542631,-51.67942405,-54.2634218,-56.84741954,-59.43141728,-62.01541502,-64.59941276,-67.1834105,-69.76740824,-72.35140599,-74.93540373,-77.51940147
,54.41666667,,47.14545455,,51.37857143,,46.86545455,,46.82142857,,46.62545455,,42.26428571,,46.38545455,,37.70714286,,46.14545455,,33.15,,,37.51179536,36.79877371,36.08575207,35.37273042,34.65970878,33.94668713,33.23366549,32.52064384,31.8076222,31.09460055,30.38157891,29.66855726,28.95553562,28.24251397,27.52949233,26.81647068,26.10344904,25.39042739,24.67740575,23.9643841,23.25136246,,,22.53834081,21.82531917,21.11229752,20.39927588,19.68625423,18.97323259,18.26021094,17.5471893,16.83416765
,55.08333333,,47.60606061,,52.00714286,,47.32606061,,47.39285714,,47.08606061,,42.77857143,,46.84606061,,38.16428571,,46.60606061,,33.55,,,37.92029595,37.19861629,36.47693664,35.75525699,35.03357733,34.31189768,33.59021802,32.86853837,32.14685872,31.42517906,30.70349941,29.98181976,29.2601401,28.53846045,27.81678079,27.09510114,26.37342149,25.65174183,24.93006218,24.20838253,23.48670287,,,22.76502322,22.04334357,21.32166391,20.59998426,19.8783046,19.15662495,18.4349453,17.71326564,16.99158599
,,,48.06666667,,,,47.78666667,,,,47.54666667,,,,47.30666667,,,,47.06666667,,,,,,,46.99666667,46.93466667,46.87266667,46.81066667,46.74866667,46.68666667,46.62466667,46.56266667,46.50066667,46.43866667,46.37666667,46.31466667,46.25266667,46.19066667,46.12866667,46.06666667,46.00466667,,,,,,,45.94266667,45.88066667,45.81866667,45.75666667,45.69466667,45.63266667,45.57066667
,,,48.52727273,,,,48.24727273,,,,48.00727273,,,,47.76727273,,,,47.52727273,,,,,,,47.45727273,47.39527273,47.33327273,47.27127273,47.20927273,47.14727273,47.08527273,47.02327273,46.96127273,46.89927273,46.83727273,46.77527273,46.71327273,46.65127273,46.58927273,46.52727273,46.46527273,,,,,,,46.40327273,46.34127273,46.27927273,46.21727273,46.15527273,46.09327273,46.03127273
data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56
76.95238095,55.75,63.47619048,48.98787879,56.73809524,52.63571429,48.65238095,48.70787879,40.56666667,47.96428571,32.48095238,48.46787879,24.3952381,43.29285714,16.30952381,48.22787879,8.223809524,38.62142857,0.138095238,47.98787879,-7.947619048,33.95,-16.03333333,5.71300207,3.078411444,0.443820817,-2.19076981,-4.825360437,-7.459951063,-10.09454169,-12.72913232,-15.36372294,-17.99831357,-20.6329042,-23.26749482,-25.90208545,-28.53667608,-31.1712667,-33.80585733,-36.44044796,-39.07503858,-41.70962921,-44.34421984,-46.97881046,-49.61340109,-52.24799172,-54.88258235,-57.51717297,-60.1517636,-62.78635423,-65.42094485,-68.05553548,-70.69012611,-73.32471673,-75.95930736,-78.59389799
78.20952381,56.41666667,64.5047619,49.44848485,57.65238095,53.26428571,49.42952381,49.16848485,41.20666667,48.53571429,32.98380952,48.92848485,24.76095238,43.80714286,16.53809524,48.68848485,8.315238095,39.07857143,0.092380952,48.44848485,-8.13047619,34.35,-16.35333333,5.665721814,2.988067005,0.310412196,-2.367242612,-5.044897421,-7.72255223,-10.40020704,-13.07786185,-15.75551666,-18.43317147,-21.11082628,-23.78848108,-26.46613589,-29.1437907,-31.82144551,-34.49910032,-37.17675513,-39.85440994,-42.53206475,-45.20971956,-47.88737436,-50.56502917,-53.24268398,-55.92033879,-58.5979936,-61.27564841,-63.95330322,-66.63095803,-69.30861284,-71.98626765,-74.66392245,-77.34157726,-80.01923207
79.46666667,57.08333333,65.53333333,49.90909091,58.56666667,53.89285714,50.20666667,49.62909091,41.84666667,49.10714286,33.48666667,49.38909091,25.12666667,44.32142857,16.76666667,49.14909091,8.406666667,39.53571429,0.046666667,48.90909091,-8.313333333,34.75,-16.67333333,5.618441558,2.897722567,0.177003576,-2.543715415,-5.264434406,-7.985153397,-10.70587239,-13.42659138,-16.14731037,-18.86802936,-21.58874835,-24.30946734,-27.03018634,-29.75090533,-32.47162432,-35.19234331,-37.9130623,-40.63378129,-43.35450028,-46.07521927,-48.79593826,-51.51665726,-54.23737625,-56.95809524,-59.67881423,-62.39953322,-65.12025221,-67.8409712,-70.56169019,-73.28240919,-76.00312818,-78.72384717,-81.44456616
80.72380952,57.75,66.56190476,50.36969697,59.48095238,54.52142857,50.98380952,50.08969697,42.48666667,49.67857143,33.98952381,49.84969697,25.49238095,44.83571429,16.9952381,49.60969697,8.498095238,39.99285714,0.000952381,49.36969697,-8.496190476,35.15,-16.99333333,5.571161302,2.807378129,0.043594956,-2.720188218,-5.483971391,-8.247754564,-11.01153774,-13.77532091,-16.53910408,-19.30288726,-22.06667043,-24.8304536,-27.59423678,-30.35801995,-33.12180312,-35.8855863,-38.64936947,-41.41315264,-44.17693582,-46.94071899,-49.70450216,-52.46828534,-55.23206851,-57.99585168,-60.75963486,-63.52341803,-66.2872012,-69.05098438,-71.81476755,-74.57855072,-77.3423339,-80.10611707,-82.86990024
81.98095238,58.41666667,67.59047619,50.83030303,60.3952381,55.15,51.76095238,50.55030303,43.12666667,50.25,34.49238095,50.31030303,25.85809524,45.35,17.22380952,50.07030303,8.58952381,40.45,-0.044761905,49.83030303,-8.679047619,35.55,-17.31333333,5.523881046,2.717033691,-0.089813665,-2.89666102,-5.703508376,-8.510355731,-11.31720309,-14.12405044,-16.9308978,-19.73774515,-22.54459251,-25.35143986,-28.15828722,-30.96513458,-33.77198193,-36.57882929,-39.38567664,-42.192524,-44.99937135,-47.80621871,-50.61306606,-53.41991342,-56.22676078,-59.03360813,-61.84045549,-64.64730284,-67.4541502,-70.26099755,-73.06784491,-75.87469226,-78.68153962,-81.48838698,-84.29523433
83.23809524,59.08333333,68.61904762,51.29090909,61.30952381,55.77857143,52.53809524,51.01090909,43.76666667,50.82142857,34.9952381,50.77090909,26.22380952,45.86428571,17.45238095,50.53090909,8.680952381,40.90714286,-0.09047619,50.29090909,-8.861904762,35.95,-17.63333333,5.476600791,2.626689253,-0.223222285,-3.073133823,-5.92304536,-8.772956898,-11.62286844,-14.47277997,-17.32269151,-20.17260305,-23.02251459,-25.87242612,-28.72233766,-31.5722492,-34.42216074,-37.27207228,-40.12198381,-42.97189535,-45.82180689,-48.67171843,-51.52162996,-54.3715415,-57.22145304,-60.07136458,-62.92127612,-65.77118765,-68.62109919,-71.47101073,-74.32092227,-77.1708338,-80.02074534,-82.87065688,-85.72056842
,59.75,,51.75151515,,56.40714286,,51.47151515,,51.39285714,,51.23151515,,46.37857143,,50.99151515,,41.36428571,,50.75151515,,36.35,,,41.19853286,40.41624715,39.63396143,38.85167572,38.06939,37.28710429,36.50481858,35.72253286,34.94024715,34.15796143,33.37567572,32.59339,31.81110429,31.02881858,30.24653286,29.46424715,28.68196143,27.89967572,27.11739,26.33510429,25.55281858,,,24.77053286,23.98824715,23.20596143,22.42367572,21.64139,20.85910429,20.07681858,19.29453286,18.51224715
,60.41666667,,52.21212121,,57.03571429,,51.93212121,,51.96428571,,51.69212121,,46.89285714,,51.45212121,,41.82142857,,51.21212121,,36.75,,,41.60703345,40.81608973,40.02514601,39.23420228,38.44325856,37.65231484,36.86137111,36.07042739,35.27948367,34.48853994,33.69759622,32.9066525,32.11570878,31.32476505,30.53382133,29.74287761,28.95193388,28.16099016,27.37004644,26.57910272,25.78815899,,,24.99721527,24.20627155,23.41532782,22.6243841,21.83344038,21.04249665,20.25155293,19.46060921,18.66966549
,,,52.67272727,,,,52.39272727,,,,52.15272727,,,,51.91272727,,,,51.67272727,,,,,,,51.60272727,51.54072727,51.47872727,51.41672727,51.35472727,51.29272727,51.23072727,51.16872727,51.10672727,51.04472727,50.98272727,50.92072727,50.85872727,50.79672727,50.73472727,50.67272727,50.61072727,,,,,,,50.54872727,50.48672727,50.42472727,50.36272727,50.30072727,50.23872727,50.17672727
,,,53.13333333,,,,52.85333333,,,,52.61333333,,,,52.37333333,,,,52.13333333,,,,,,,52.06333333,52.00133333,51.93933333,51.87733333,51.81533333,51.75333333,51.69133333,51.62933333,51.56733333,51.50533333,51.44333333,51.38133333,51.31933333,51.25733333,51.19533333,51.13333333,51.07133333,,,,,,,51.00933333,50.94733333,50.88533333,50.82333333,50.76133333,50.69933333,50.63733333
data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56
84.4952381,61.08333333,69.64761905,53.59393939,62.22380952,57.66428571,53.3152381,53.31393939,44.40666667,52.53571429,35.49809524,53.07393939,26.58952381,47.40714286,17.68095238,52.83393939,8.772380952,42.27857143,-0.136190476,52.59393939,-9.044761905,37.15,-17.95333333,6.021076605,3.120572181,0.220067758,-2.680436665,-5.580941088,-8.481445511,-11.38194993,-14.28245436,-17.18295878,-20.0834632,-22.98396763,-25.88447205,-28.78497647,-31.6854809,-34.58598532,-37.48648974,-40.38699417,-43.28749859,-46.18800301,-49.08850743,-51.98901186,-54.88951628,-57.7900207,-60.69052513,-63.59102955,-66.49153397,-69.3920384,-72.29254282,-75.19304724,-78.09355167,-80.99405609,-83.89456051,-86.79506494
85.75238095,61.75,70.67619048,54.05454545,63.13809524,58.29285714,54.09238095,53.77454545,45.04666667,53.10714286,36.00095238,53.53454545,26.9552381,47.92142857,17.90952381,53.29454545,8.863809524,42.73571429,-0.181904762,53.05454545,-9.227619048,37.55,-18.27333333,5.973796349,3.030227743,0.086659138,-2.856909467,-5.800478073,-8.744046678,-11.68761528,-14.63118389,-17.57475249,-20.5183211,-23.4618897,-26.40545831,-29.34902692,-32.29259552,-35.23616413,-38.17973273,-41.12330134,-44.06686994,-47.01043855,-49.95400715,-52.89757576,-55.84114436,-58.78471297,-61.72828157,-64.67185018,-67.61541878,-70.55898739,-73.50255599,-76.4461246,-79.38969321,-82.33326181,-85.27683042,-88.22039902
87.00952381,62.41666667,71.7047619,54.51515152,64.05238095,58.92142857,54.86952381,54.23515152,45.68666667,53.67857143,36.50380952,53.99515152,27.32095238,48.43571429,18.13809524,53.75515152,8.955238095,43.19285714,-0.227619048,53.51515152,-9.41047619,37.95,-18.59333333,5.926516093,2.939883305,-0.046749482,-3.03338227,-6.020015057,-9.006647845,-11.99328063,-14.97991342,-17.96654621,-20.95317899,-23.93981178,-26.92644457,-29.91307736,-32.89971014,-35.88634293,-38.87297572,-41.85960851,-44.84624129,-47.83287408,-50.81950687,-53.80613966,-56.79277244,-59.77940523,-62.76603802,-65.75267081,-68.73930359,-71.72593638,-74.71256917,-77.69920196,-80.68583474,-83.67246753,-86.65910032,-89.64573311
88.26666667,63.08333333,72.73333333,54.97575758,64.96666667,59.55,55.64666667,54.69575758,46.32666667,54.25,37.00666667,54.45575758,27.68666667,48.95,18.36666667,54.21575758,9.046666667,43.65,-0.273333333,53.97575758,-9.593333333,38.35,-18.91333333,5.879235837,2.849538867,-0.180158103,-3.209855072,-6.239552042,-9.269249012,-12.29894598,-15.32864295,-18.35833992,-21.38803689,-24.41773386,-27.44743083,-30.4771278,-33.50682477,-36.53652174,-39.56621871,-42.59591568,-45.62561265,-48.65530962,-51.68500659,-54.71470356,-57.74440053,-60.7740975,-63.80379447,-66.83349144,-69.86318841,-72.89288538,-75.92258235,-78.95227931,-81.98197628,-85.01167325,-88.04137022,-91.07106719
89.52380952,63.75,73.76190476,55.43636364,65.88095238,60.17857143,56.42380952,55.15636364,46.96666667,54.82142857,37.50952381,54.91636364,28.05238095,49.46428571,18.5952381,54.67636364,9.138095238,44.10714286,-0.319047619,54.43636364,-9.776190476,38.75,-19.23333333,5.831955581,2.759194429,-0.313566723,-3.386327875,-6.459089027,-9.531850179,-12.60461133,-15.67737248,-18.75013363,-21.82289479,-24.89565594,-27.96841709,-31.04117824,-34.11393939,-37.18670055,-40.2594617,-43.33222285,-46.404984,-49.47774515,-52.55050631,-55.62326746,-58.69602861,-61.76878976,-64.84155091,-67.91431206,-70.98707322,-74.05983437,-77.13259552,-80.20535667,-83.27811782,-86.35087898,-89.42364013,-92.49640128
90.78095238,64.41666667,74.79047619,55.8969697,66.7952381,60.80714286,57.20095238,55.6169697,47.60666667,55.39285714,38.01238095,55.3769697,28.41809524,49.97857143,18.82380952,55.1369697,9.22952381,44.56428571,-0.364761905,54.8969697,-9.959047619,39.15,-19.55333333,5.784675325,2.668849991,-0.446975343,-3.562800678,-6.678626012,-9.794451346,-12.91027668,-16.02610201,-19.14192735,-22.25775268,-25.37357802,-28.48940335,-31.60522868,-34.72105402,-37.83687935,-40.95270469,-44.06853002,-47.18435535,-50.30018069,-53.41600602,-56.53183136,-59.64765669,-62.76348203,-65.87930736,-68.99513269,-72.11095803,-75.22678336,-78.3426087,-81.45843403,-84.57425936,-87.6900847,-90.80591003,-93.92173537
,65.08333333,,56.35757576,,61.43571429,,56.07757576,,55.96428571,,55.83757576,,50.49285714,,55.59757576,,45.02142857,,55.35757576,,39.55,,,44.88527037,44.03372058,43.1821708,42.33062102,41.47907123,40.62752145,39.77597166,38.92442188,38.0728721,37.22132231,36.36977253,35.51822275,34.66667296,33.81512318,32.9635734,32.11202361,31.26047383,30.40892405,29.55737426,28.70582448,27.8542747,,,27.00272491,26.15117513,25.29962534,24.44807556,23.59652578,22.74497599,21.89342621,21.04187643,20.19032664
,65.75,,56.81818182,,62.06428571,,56.53818182,,56.53571429,,56.29818182,,51.00714286,,56.05818182,,45.47857143,,55.81818182,,39.95,,,45.29377096,44.43356316,43.57335537,42.71314758,41.85293979,40.992732,40.1325242,39.27231641,38.41210862,37.55190083,36.69169303,35.83148524,34.97127745,34.11106966,33.25086187,32.39065407,31.53044628,30.67023849,29.8100307,28.9498229,28.08961511,,,27.22940732,26.36919953,25.50899174,24.64878394,23.78857615,22.92836836,22.06816057,21.20795277,20.34774498
,,,57.27878788,,,,56.99878788,,,,56.75878788,,,,56.51878788,,,,56.27878788,,,,,,,56.20878788,56.14678788,56.08478788,56.02278788,55.96078788,55.89878788,55.83678788,55.77478788,55.71278788,55.65078788,55.58878788,55.52678788,55.46478788,55.40278788,55.34078788,55.27878788,55.21678788,,,,,,,55.15478788,55.09278788,55.03078788,54.96878788,54.90678788,54.84478788,54.78278788
,,,57.73939394,,,,57.45939394,,,,57.21939394,,,,56.97939394,,,,56.73939394,,,,,,,56.66939394,56.60739394,56.54539394,56.48339394,56.42139394,56.35939394,56.29739394,56.23539394,56.17339394,56.11139394,56.04939394,55.98739394,55.92539394,55.86339394,55.80139394,55.73939394,55.67739394,,,,,,,55.61539394,55.55339394,55.49139394,55.42939394,55.36739394,55.30539394,55.24339394
data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56
92.03809524,66.41666667,75.81904762,58.2,67.70952381,62.69285714,57.97809524,57.92,48.24666667,57.10714286,38.5152381,57.68,28.78380952,51.52142857,19.05238095,57.44,9.320952381,45.93571429,-0.41047619,57.2,-10.14190476,40.35,-19.87333333,6.329151139,3.162732919,-0.0036853,-3.17010352,-6.336521739,-9.502939959,-12.66935818,-15.8357764,-19.00219462,-22.16861284,-25.33503106,-28.50144928,-31.66786749,-34.83428571,-38.00070393,-41.16712215,-44.33354037,-47.49995859,-50.66637681,-53.83279503,-56.99921325,-60.16563147,-63.33204969,-66.49846791,-69.66488613,-72.83130435,-75.99772257,-79.16414079,-82.33055901,-85.49697723,-88.66339545,-91.82981366,-94.99623188
93.2952381,67.08333333,76.84761905,58.66060606,68.62380952,63.32142857,58.7552381,58.38060606,48.88666667,57.67857143,39.01809524,58.14060606,29.14952381,52.03571429,19.28095238,57.90060606,9.412380952,46.39285714,-0.456190476,57.66060606,-10.3247619,40.75,-20.19333333,6.281870883,3.072388481,-0.137093921,-3.346576322,-6.556058724,-9.765541126,-12.97502353,-16.18450593,-19.39398833,-22.60347073,-25.81295313,-29.02243554,-32.23191794,-35.44140034,-38.65088274,-41.86036514,-45.06984754,-48.27932995,-51.48881235,-54.69829475,-57.90777715,-61.11725955,-64.32674195,-67.53622436,-70.74570676,-73.95518916,-77.16467156,-80.37415396,-83.58363636,-86.79311877,-90.00260117,-93.21208357,-96.42156597
94.55238095,67.75,77.87619048,59.12121212,69.53809524,63.95,59.53238095,58.84121212,49.52666667,58.25,39.52095238,58.60121212,29.5152381,52.55,19.50952381,58.36121212,9.503809524,46.85,-0.501904762,58.12121212,-10.50761905,41.15,-20.51333333,6.234590627,2.982044043,-0.270502541,-3.523049125,-6.775595709,-10.02814229,-13.28068888,-16.53323546,-19.78578204,-23.03832863,-26.29087521,-29.5434218,-32.79596838,-36.04851496,-39.30106155,-42.55360813,-45.80615471,-49.0587013,-52.31124788,-55.56379447,-58.81634105,-62.06888763,-65.32143422,-68.5739808,-71.82652739,-75.07907397,-78.33162055,-81.58416714,-84.83671372,-88.0892603,-91.34180689,-94.59435347,-97.84690006
